,,,,,,,,,,,,,,,,
NOME,GÊNERO,ENDEREÇO,COMUNIDADE,TELEFONE,DATA DE NASCIMENTO,CPF,RG,GAO - GG - GT,INSTITUIÇÃO,AMBIENTE DE TRABALHO,OCUPAÇÃO,RELAÇÃO FAMILIAR,INTERESSE EM PARTICIPAR DO EMPREENDIMENTO,OBSERVAÇÕES GERAIS,,
"Inserir nome completo, em caixa alta e em ordem alfabética",Informar o sexo biológico do sujeito,Local onde o Sujeito da Ação residi,Informar a comunidade do sujeito de acordo com a listagem do georreferenciamento,Contato do Sujeito da Ação Educatica (SAE),,,,Informar se o sujeito da Ação faz parte de algum Grupo,"Informar se o sujeito é REPRESENTANTE de alguma instituição. Se não for, marcar ""NÃO SE APLICA""",Informar principal ambiente no qual o sujeito desenvolve suas atividades relacionadas à pesca,Principal função na cadeia produtiva da pesca,Informar se o sujeito possui relação de parentesco com alguém que exerce atividade na cadeia da pesca,Informar se o sujeito tem interesse em participar do empreendimento,Acrescentar informações relevantes que possam contribuir com este processo de avaliação,,
AMOS DE FATIMA,Masculino,Ap #990-7600 Eu St.,Đồng Xoài,(992) 668-2360,7/Oct/ 1994,036.896.968-98,39.461.628-5,GT,REPRESENTANTE,ALTO MAR,PESCADOR,PAI,V,"	Habitant enim purus etiam, fusce.",,
CARYN GONZAGA,Feminino,"P.O. Box 855, 5652 Donec St.",Trevignano Romano,1-418-288-2725,10/jul./ 1980,132.002.469-89,43.400.346-3,GAO,REPRESENTANTE,BARCO,CARREGADOR,MÃE,F,,,
HILLARY MIRANDA,Feminino,658-5042 Non St.,Thanh Hóa,1-937-786-5523,10/May/ 1997,369.852.741-32,26.254.151-8,GT,NÃO SE APLICA,BARCO,CARREGADOR,Não possui,F,"	Duis gravida laoreet augue, felis. ",,
KIONA DA LUZ,Feminino,626-8823 Elit Ave,Sincelejo,(368) 455-0718,10/mar./ 1972,214.365.498-75,19.923.407-3,GG,NÃO SE APLICA,ALTO MAR,PESCADOR,Não possui,V,,,
MELYSSA QUEIROZ,Feminino,"P.O. Box 636, 9312 Magna Road",Londrina,(339) 856-9434,30/jul./ 1999,147.258.369-96,13.560.763-2,GAO,REPRESENTANTE,ALTO MAR,PESCADOR,MÃE,V,,,Site de dados aleatorios: https://generatedata.com/generator
PEARL SOUZA,Feminino,699-8070 Ipsum St.,Paignton,(335) 638-1378,23/jun./ 1968,852.967.456-97,10.540.287-4,GG,NÃO SE APLICA,BARCO,CARREGADOR,FILHA,V,,,
PHILIP BENTO,Masculino,811-8831 Sed Rd.,Camarones,(894) 186-9591,8/mar./ 1963,321.526.759-63,15.152.159-1,GT,NÃO SE APLICA,BARCO,CARREGADOR,Não possui,F,"	Ipsum vestibulum eleifend nec, molestie. ",,
ROGAN PACHECO,Masculino,"801-3424 Montes, Street",Juliaca,(626) 705-1785,18/Aug/ 1988,785.968.135-23,47.078.844-6,GAO,REPRESENTANTE,ALTO MAR,PESCADOR,MÃE,V,"	Habitant arcu sit magna, convallis. ",,
URSULA REZENDE,Feminino,2507 Odio St.,Sokoto,1-726-233-0284,22/Dec/ 1999,693.856.459-52,35.486.206-6,GG,NÃO SE APLICA,BARCO,CARREGADOR,Não possui,F,,,
WYNTER NUNES,Masculino,Ap #524-1646 Accumsan St.,Okpoko,(572) 678-3334,28/May/ 1974,125.896.324-76,14.536.207-3,GAO,NÃO SE APLICA,ALTO MAR,PESCADOR,Não possui,V,"	Mi integer tristique donec, mollis. ",,
